               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.033423,            0.025156,           0.0020657,             0.97595,              0.9684,             0.99051,              0.7207,            0.025958,            0.010949,           0.0012094,           0.0084754,           0.0084754,           0.0084754
                  79,            0.033894,            0.023554,           0.0022141,             0.98235,             0.97468,              0.9897,             0.66184,            0.028934,            0.011298,           0.0011973,           0.0084556,           0.0084556,           0.0084556
                  80,            0.033751,            0.024256,           0.0020665,             0.98399,             0.97344,             0.98995,             0.65946,            0.028972,             0.01124,           0.0012291,           0.0084358,           0.0084358,           0.0084358
                  81,            0.034231,            0.025222,           0.0017673,             0.97565,             0.97379,              0.9908,             0.71122,            0.025198,            0.011026,           0.0011661,            0.008416,            0.008416,            0.008416
                  82,            0.031643,            0.024786,           0.0017674,             0.97778,              0.9727,             0.99075,             0.73525,            0.023865,            0.010923,           0.0012577,           0.0083962,           0.0083962,           0.0083962
                  83,            0.031466,            0.023326,           0.0017333,             0.98145,             0.97901,             0.99183,             0.69632,            0.024985,            0.010551,           0.0011329,           0.0083764,           0.0083764,           0.0083764
                  84,            0.032438,             0.02399,           0.0015141,             0.98512,             0.98428,             0.99287,             0.70538,            0.024847,            0.010615,            0.001152,           0.0083566,           0.0083566,           0.0083566
                  85,            0.028509,            0.021934,           0.0024718,             0.97756,             0.98157,             0.99354,             0.72207,            0.023945,            0.010781,            0.001084,           0.0083368,           0.0083368,           0.0083368
                  86,            0.032299,            0.022137,           0.0017119,             0.97835,             0.97274,             0.99284,             0.72528,            0.024211,            0.010557,           0.0010528,            0.008317,            0.008317,            0.008317
                  87,            0.031562,            0.023451,           0.0015166,             0.98603,              0.9776,             0.99297,              0.6975,            0.024509,            0.010506,           0.0010258,           0.0082972,           0.0082972,           0.0082972
                  88,            0.032403,             0.02422,           0.0014304,             0.98632,             0.98462,             0.99258,             0.75582,            0.022799,            0.010206,           0.0010292,           0.0082774,           0.0082774,           0.0082774
                  89,            0.030776,            0.021977,           0.0021645,             0.98323,             0.98821,             0.99346,             0.67974,            0.026663,             0.01045,           0.0010478,           0.0082576,           0.0082576,           0.0082576
                  90,            0.032122,            0.022468,           0.0016332,             0.98258,             0.98915,             0.99383,             0.67383,            0.026012,            0.010804,           0.0010409,           0.0082378,           0.0082378,           0.0082378
                  91,            0.030533,            0.022513,            0.001734,             0.98641,             0.98859,             0.99358,             0.73127,            0.024795,            0.010248,           0.0010443,            0.008218,            0.008218,            0.008218
                  92,            0.030847,            0.022797,             0.00153,             0.98997,             0.98154,             0.99371,             0.72886,            0.024197,            0.010093,           0.0010938,           0.0081982,           0.0081982,           0.0081982
                  93,            0.030237,            0.023162,           0.0015394,             0.99173,             0.98485,             0.99435,              0.7441,            0.023087,            0.010057,           0.0010553,           0.0081784,           0.0081784,           0.0081784
                  94,            0.030524,             0.02297,           0.0014279,             0.99142,             0.98423,             0.99414,             0.74216,            0.022488,                0.01,           0.0010273,           0.0081586,           0.0081586,           0.0081586
                  95,            0.028489,            0.025833,           0.0014409,             0.98114,             0.98577,             0.99386,             0.74036,            0.023131,              0.0101,          0.00098131,           0.0081388,           0.0081388,           0.0081388
                  96,             0.03125,            0.021482,            0.001656,             0.98366,             0.98362,              0.9934,             0.74323,            0.023502,            0.010131,          0.00097189,            0.008119,            0.008119,            0.008119
                  97,            0.032703,            0.023855,           0.0014054,             0.98272,             0.98648,             0.99443,             0.72507,            0.023732,            0.010256,          0.00098482,           0.0080992,           0.0080992,           0.0080992
                  98,            0.030912,            0.023073,           0.0016536,             0.97409,             0.99126,             0.99285,             0.74054,            0.025059,             0.01037,           0.0009215,           0.0080794,           0.0080794,           0.0080794
                  99,             0.03087,            0.024776,           0.0017676,             0.98444,             0.99108,               0.994,              0.7558,            0.023286,            0.010146,          0.00088384,           0.0080596,           0.0080596,           0.0080596
                 100,             0.03086,            0.023845,           0.0013717,             0.98407,             0.98849,              0.9934,             0.75753,            0.023474,           0.0098776,          0.00094529,           0.0080398,           0.0080398,           0.0080398
                 101,            0.029559,            0.022943,            0.001566,             0.97147,             0.98626,              0.9922,             0.74201,            0.021691,           0.0099374,           0.0010584,             0.00802,             0.00802,             0.00802
                 102,            0.030086,            0.022595,           0.0014801,             0.98767,             0.98354,             0.99267,             0.74868,            0.023127,           0.0098105,           0.0010468,           0.0080002,           0.0080002,           0.0080002
                 103,            0.028183,             0.02086,           0.0016025,             0.98546,             0.99353,             0.99049,             0.77256,            0.020534,           0.0097421,           0.0010202,           0.0079804,           0.0079804,           0.0079804
                 104,            0.030851,             0.02409,           0.0013567,             0.98517,             0.99217,             0.99358,             0.74556,            0.023192,           0.0099594,           0.0009783,           0.0079606,           0.0079606,           0.0079606
                 105,            0.029589,            0.022319,           0.0017166,             0.98319,             0.99313,             0.99402,             0.76143,            0.022041,            0.010035,           0.0010008,           0.0079408,           0.0079408,           0.0079408
                 106,            0.029894,            0.023984,           0.0014817,             0.98611,             0.98611,             0.99413,             0.75803,             0.02185,           0.0099131,           0.0010187,            0.007921,            0.007921,            0.007921
                 107,            0.029844,            0.023926,           0.0013528,             0.98015,             0.99161,             0.99317,             0.71746,            0.024343,            0.010222,           0.0010375,           0.0079012,           0.0079012,           0.0079012
                 108,            0.030819,            0.022256,           0.0013737,              0.9792,             0.99112,             0.99399,             0.74181,            0.023977,           0.0099724,           0.0010168,           0.0078814,           0.0078814,           0.0078814
                 109,             0.03023,            0.022844,           0.0016143,             0.97718,             0.99312,             0.99407,             0.76437,             0.02274,           0.0097437,          0.00093812,           0.0078616,           0.0078616,           0.0078616
                 110,            0.030506,            0.023754,            0.001344,             0.98479,             0.99386,             0.99407,             0.75888,             0.02292,            0.010028,           0.0008634,           0.0078418,           0.0078418,           0.0078418
                 111,            0.031137,            0.022665,           0.0015966,             0.98359,             0.99327,             0.99326,             0.77284,            0.020848,            0.009624,          0.00079991,            0.007822,            0.007822,            0.007822
                 112,            0.029829,            0.021227,           0.0013678,             0.98639,              0.9907,             0.99271,              0.7506,            0.021829,           0.0098046,          0.00082267,           0.0078022,           0.0078022,           0.0078022
                 113,            0.028777,            0.025296,           0.0014655,             0.98467,             0.98659,             0.99266,             0.76319,             0.02088,            0.009644,          0.00083613,           0.0077824,           0.0077824,           0.0077824
                 114,            0.028549,            0.024443,           0.0017985,             0.97819,             0.99394,             0.99292,              0.7713,            0.019997,           0.0096356,          0.00092255,           0.0077626,           0.0077626,           0.0077626
                 115,            0.028074,            0.021694,           0.0015184,             0.98551,             0.98439,              0.9931,             0.72645,            0.024332,            0.010349,           0.0010039,           0.0077428,           0.0077428,           0.0077428
